trade_ref,instrument_id,counterparty_id,asset_class,side,quantity,price,trade_date,status
TRD-20260131-0093,4,4,EQUITY,SELL,3451,227.045,2026-01-31,PENDING
TRD-20260201-0094,5,5,EQUITY,BUY,3488,421.3,2026-02-01,PENDING
TRD-20260201-0095,6,6,EQUITY,SELL,3525,173.2458,2026-02-01,PENDING
TRD-20260201-0096,7,7,EQUITY,BUY,3562,692.8604,2026-02-01,PENDING
TRD-20260202-0097,8,8,EQUITY,SELL,3599,71.6775,2026-02-02,PENDING
TRD-20260202-0098,9,9,EQUITY,BUY,3636,21.7728,2026-02-02,PENDING
TRD-20260202-0099,10,10,FIXED_INCOME,SELL,3673,99.7375,2026-02-02,PENDING
TRD-20260203-0100,11,1,FIXED_INCOME,BUY,3710,97.5568,2026-02-03,PENDING
TRD-20260203-0101,12,2,FIXED_INCOME,SELL,3747,98.4594,2026-02-03,PENDING
TRD-20260203-0102,13,3,FX,BUY,3784,1.1015,2026-02-03,PENDING
TRD-20260204-0103,14,4,FX,SELL,3821,152.0383,2026-02-04,PENDING
TRD-20260204-0104,15,5,FX,BUY,3858,1.2888,2026-02-04,PENDING
TRD-20260204-0105,1,6,EQUITY,SELL,3895,174.832,2026-02-04,PENDING
TRD-20260205-0106,2,7,EQUITY,BUY,3932,165.1724,2026-02-05,PENDING
TRD-20260205-0107,3,8,EQUITY,SELL,3969,14.6124,2026-02-05,PENDING
TRD-20260205-0108,4,9,EQUITY,BUY,4006,224.315,2026-02-05,PENDING
TRD-20260206-0109,5,10,EQUITY,SELL,4043,416.2444,2026-02-06,PENDING
TRD-20260206-0110,6,1,EQUITY,BUY,4080,171.171,2026-02-06,PENDING
TRD-20260206-0111,7,2,EQUITY,SELL,4117,684.5792,2026-02-06,PENDING
TRD-20260207-0112,8,3,EQUITY,BUY,4154,70.8225,2026-02-07,PENDING
TRD-20260207-0113,9,4,EQUITY,SELL,4191,21.5136,2026-02-07,PENDING
TRD-20260207-0114,10,5,FIXED_INCOME,BUY,4228,98.5525,2026-02-07,PENDING
TRD-20260208-0115,11,6,FIXED_INCOME,SELL,4265,96.4,2026-02-08,PENDING
TRD-20260208-0116,12,7,FIXED_INCOME,BUY,4302,97.2942,2026-02-08,PENDING
TRD-20260208-0117,13,8,FX,SELL,4339,1.0885,2026-02-08,PENDING
TRD-20260209-0118,14,9,FX,BUY,4376,150.2461,2026-02-09,PENDING
TRD-20260209-0119,15,10,FX,SELL,4413,1.2736,2026-02-09,PENDING
TRD-20260209-0120,1,1,EQUITY,BUY,4450,180.184,2026-02-09,PENDING
TRD-20260210-0121,2,2,EQUITY,SELL,4487,170.2184,2026-02-10,PENDING
TRD-20260210-0122,3,3,EQUITY,BUY,4524,15.0579,2026-02-10,PENDING
TRD-20260210-0123,4,4,EQUITY,SELL,4561,231.14,2026-02-10,PENDING
TRD-20260211-0124,5,5,EQUITY,BUY,4598,428.8834,2026-02-11,PENDING
TRD-20260211-0125,6,6,EQUITY,SELL,4635,176.358,2026-02-11,PENDING
TRD-20260211-0126,7,7,EQUITY,BUY,4672,676.298,2026-02-11,PENDING
TRD-20260212-0127,8,8,EQUITY,SELL,4709,69.9675,2026-02-12,PENDING
TRD-20260212-0128,9,9,EQUITY,BUY,4746,21.2544,2026-02-12,PENDING
TRD-20260212-0129,10,10,FIXED_INCOME,SELL,4783,97.3675,2026-02-12,PENDING
TRD-20260213-0130,11,1,FIXED_INCOME,BUY,4820,95.2432,2026-02-13,PENDING
TRD-20260213-0131,12,2,FIXED_INCOME,SELL,4857,96.129,2026-02-13,PENDING
TRD-20260213-0132,13,3,FX,BUY,4894,1.0755,2026-02-13,PENDING
TRD-20260214-0133,14,4,FX,SELL,4931,148.4539,2026-02-14,PENDING
TRD-20260214-0134,15,5,FX,BUY,4968,1.2584,2026-02-14,PENDING
TRD-20260214-0135,1,6,EQUITY,SELL,15,178.0432,2026-02-14,PENDING
TRD-20260215-0136,2,7,EQUITY,BUY,52,168.2,2026-02-15,PENDING
TRD-20260215-0137,3,8,EQUITY,SELL,89,14.8797,2026-02-15,PENDING
TRD-20260215-0138,4,9,EQUITY,BUY,126,228.41,2026-02-15,PENDING
TRD-20260216-0139,5,10,EQUITY,SELL,163,423.8278,2026-02-16,PENDING
TRD-20260216-0140,6,1,EQUITY,BUY,200,174.2832,2026-02-16,PENDING
TRD-20260216-0141,7,2,EQUITY,SELL,237,697.001,2026-02-16,PENDING
TRD-20260217-0142,8,3,EQUITY,BUY,274,72.105,2026-02-17,PENDING
TRD-20260217-0143,9,4,EQUITY,SELL,311,21.9024,2026-02-17,PENDING
TRD-20260217-0144,10,5,FIXED_INCOME,BUY,348,100.33,2026-02-17,PENDING
TRD-20260218-0145,11,6,FIXED_INCOME,SELL,385,98.1352,2026-02-18,PENDING
TRD-20260218-0146,12,7,FIXED_INCOME,BUY,422,99.042,2026-02-18,PENDING
TRD-20260218-0147,13,8,FX,SELL,459,1.0625,2026-02-18,PENDING
TRD-20260219-0148,14,9,FX,BUY,496,146.6617,2026-02-19,PENDING
TRD-20260219-0149,15,10,FX,SELL,533,1.2433,2026-02-19,PENDING
TRD-20260219-0150,1,1,EQUITY,BUY,570,175.9024,2026-02-19,PENDING
TRD-20260220-0151,2,2,EQUITY,SELL,607,166.1816,2026-02-20,PENDING
TRD-20260220-0152,3,3,EQUITY,BUY,644,14.7015,2026-02-20,PENDING
TRD-20260220-0153,4,4,EQUITY,SELL,681,225.68,2026-02-20,PENDING
TRD-20260221-0154,5,5,EQUITY,BUY,718,418.7722,2026-02-21,PENDING
TRD-20260221-0155,6,6,EQUITY,SELL,755,172.2084,2026-02-21,PENDING
TRD-20260221-0156,7,7,EQUITY,BUY,792,688.7198,2026-02-21,PENDING
TRD-20260222-0157,8,8,EQUITY,SELL,829,71.25,2026-02-22,PENDING
TRD-20260222-0158,9,9,EQUITY,BUY,866,21.6432,2026-02-22,PENDING
TRD-20260222-0159,10,10,FIXED_INCOME,SELL,903,99.145,2026-02-22,PENDING
TRD-20260223-0160,11,1,FIXED_INCOME,BUY,940,96.9784,2026-02-23,PENDING
TRD-20260223-0161,12,2,FIXED_INCOME,SELL,977,97.8768,2026-02-23,PENDING
TRD-20260223-0162,13,3,FX,BUY,1014,1.095,2026-02-23,PENDING
TRD-20260224-0163,14,4,FX,SELL,1051,151.1422,2026-02-24,PENDING
TRD-20260224-0164,15,5,FX,BUY,1088,1.2812,2026-02-24,PENDING
TRD-20260224-0165,1,6,EQUITY,SELL,1125,181.2544,2026-02-24,PENDING
TRD-20260225-0166,2,7,EQUITY,BUY,1162,171.2276,2026-02-25,PENDING
TRD-20260225-0167,3,8,EQUITY,SELL,1199,15.147,2026-02-25,PENDING
TRD-20260225-0168,4,9,EQUITY,BUY,1236,222.95,2026-02-25,PENDING
TRD-20260226-0169,5,10,EQUITY,SELL,1273,413.7166,2026-02-26,PENDING
TRD-20260226-0170,6,1,EQUITY,BUY,1310,170.1336,2026-02-26,PENDING
TRD-20260226-0171,7,2,EQUITY,SELL,1347,680.4386,2026-02-26,PENDING
TRD-20260227-0172,8,3,EQUITY,BUY,1384,70.395,2026-02-27,PENDING
TRD-20260227-0173,9,4,EQUITY,SELL,1421,21.384,2026-02-27,PENDING
TRD-20260227-0174,10,5,FIXED_INCOME,BUY,1458,97.96,2026-02-27,PENDING
TRD-20260228-0175,11,6,FIXED_INCOME,SELL,1495,95.8216,2026-02-28,PENDING
TRD-20260228-0176,12,7,FIXED_INCOME,BUY,1532,96.7116,2026-02-28,PENDING
TRD-20260228-0177,13,8,FX,SELL,1569,1.082,2026-02-28,PENDING
TRD-20260301-0178,14,9,FX,BUY,1606,149.35,2026-03-01,PENDING
TRD-20260301-0179,15,10,FX,SELL,1643,1.266,2026-03-01,PENDING
TRD-20260301-0180,1,1,EQUITY,BUY,1680,179.1136,2026-03-01,PENDING
TRD-20260302-0181,2,2,EQUITY,SELL,1717,169.2092,2026-03-02,PENDING
TRD-20260302-0182,3,3,EQUITY,BUY,1754,14.9688,2026-03-02,PENDING
TRD-20260302-0183,4,4,EQUITY,SELL,1791,229.775,2026-03-02,PENDING
TRD-20260303-0184,5,5,EQUITY,BUY,1828,426.3556,2026-03-03,PENDING
TRD-20260303-0185,6,6,EQUITY,SELL,1865,175.3206,2026-03-03,PENDING
TRD-20260303-0186,7,7,EQUITY,BUY,1902,701.1416,2026-03-03,PENDING
TRD-20260304-0187,8,8,EQUITY,SELL,1939,72.5325,2026-03-04,PENDING
TRD-20260304-0188,9,9,EQUITY,BUY,1976,22.032,2026-03-04,PENDING
TRD-20260304-0189,10,10,FIXED_INCOME,SELL,2013,96.775,2026-03-04,PENDING
TRD-20260305-0190,11,1,FIXED_INCOME,BUY,2050,94.6648,2026-03-05,PENDING
TRD-20260305-0191,12,2,FIXED_INCOME,SELL,2087,95.5464,2026-03-05,PENDING
TRD-20260305-0192,13,3,FX,BUY,2124,1.069,2026-03-05,PENDING
TRD-20260306-0193,14,4,FX,SELL,2161,147.5578,2026-03-06,PENDING
TRD-20260306-0194,15,5,FX,BUY,2198,1.2509,2026-03-06,PENDING
TRD-20260306-0195,1,6,EQUITY,SELL,2235,176.9728,2026-03-06,PENDING
TRD-20260307-0196,2,7,EQUITY,BUY,2272,167.1908,2026-03-07,PENDING
TRD-20260307-0197,3,8,EQUITY,SELL,2309,14.7906,2026-03-07,PENDING
TRD-20260307-0198,4,9,EQUITY,BUY,2346,227.045,2026-03-07,PENDING
TRD-20260308-0199,5,10,EQUITY,SELL,2383,421.3,2026-03-08,PENDING
TRD-20260308-0200,6,1,EQUITY,BUY,2420,173.2458,2026-03-08,PENDING
TRD-20260308-0201,7,2,EQUITY,SELL,2457,692.8604,2026-03-08,PENDING
TRD-20260309-0202,8,3,EQUITY,BUY,2494,71.6775,2026-03-09,PENDING
TRD-20260309-0203,9,4,EQUITY,SELL,2531,21.7728,2026-03-09,PENDING
TRD-20260309-0204,10,5,FIXED_INCOME,BUY,2568,99.7375,2026-03-09,PENDING
TRD-20260310-0205,11,6,FIXED_INCOME,SELL,2605,97.5568,2026-03-10,PENDING
TRD-20260310-0206,12,7,FIXED_INCOME,BUY,2642,98.4594,2026-03-10,PENDING
TRD-20260310-0207,13,8,FX,SELL,2679,1.1015,2026-03-10,PENDING
TRD-20260311-0208,14,9,FX,BUY,2716,152.0383,2026-03-11,PENDING
TRD-20260311-0209,15,10,FX,SELL,2753,1.2888,2026-03-11,PENDING
TRD-20260311-0210,1,1,EQUITY,BUY,2790,174.832,2026-03-11,PENDING
TRD-20260312-0211,2,2,EQUITY,SELL,2827,165.1724,2026-03-12,PENDING
TRD-20260312-0212,3,3,EQUITY,BUY,2864,14.6124,2026-03-12,PENDING
TRD-20260312-0213,4,4,EQUITY,SELL,2901,224.315,2026-03-12,PENDING
TRD-20260313-0214,5,5,EQUITY,BUY,2938,416.2444,2026-03-13,PENDING
TRD-20260313-0215,6,6,EQUITY,SELL,2975,171.171,2026-03-13,PENDING
TRD-20260313-0216,7,7,EQUITY,BUY,3012,684.5792,2026-03-13,PENDING
TRD-20260314-0217,8,8,EQUITY,SELL,3049,70.8225,2026-03-14,PENDING
TRD-20260314-0218,9,9,EQUITY,BUY,3086,21.5136,2026-03-14,PENDING
TRD-20260314-0219,10,10,FIXED_INCOME,SELL,3123,98.5525,2026-03-14,PENDING
TRD-20260315-0220,11,1,FIXED_INCOME,BUY,3160,96.4,2026-03-15,PENDING
TRD-20260315-0221,12,2,FIXED_INCOME,SELL,3197,97.2942,2026-03-15,PENDING
TRD-20260315-0222,13,3,FX,BUY,3234,1.0885,2026-03-15,PENDING
TRD-20260316-0223,14,4,FX,SELL,3271,150.2461,2026-03-16,PENDING
TRD-20260316-0224,15,5,FX,BUY,3308,1.2736,2026-03-16,PENDING
TRD-20260316-0225,1,6,EQUITY,SELL,3345,180.184,2026-03-16,PENDING
TRD-20260317-0226,2,7,EQUITY,BUY,3382,170.2184,2026-03-17,PENDING
TRD-20260317-0227,3,8,EQUITY,SELL,3419,15.0579,2026-03-17,PENDING
TRD-20260317-0228,4,9,EQUITY,BUY,3456,231.14,2026-03-17,PENDING
TRD-20260318-0229,5,10,EQUITY,SELL,3493,428.8834,2026-03-18,PENDING
TRD-20260318-0230,6,1,EQUITY,BUY,3530,176.358,2026-03-18,PENDING
TRD-20260318-0231,7,2,EQUITY,SELL,3567,676.298,2026-03-18,PENDING
TRD-20260319-0232,8,3,EQUITY,BUY,3604,69.9675,2026-03-19,PENDING
TRD-20260319-0233,9,4,EQUITY,SELL,3641,21.2544,2026-03-19,PENDING
TRD-20260319-0234,10,5,FIXED_INCOME,BUY,3678,97.3675,2026-03-19,PENDING
TRD-20260320-0235,11,6,FIXED_INCOME,SELL,3715,95.2432,2026-03-20,PENDING
TRD-20260320-0236,12,7,FIXED_INCOME,BUY,3752,96.129,2026-03-20,PENDING
TRD-20260320-0237,13,8,FX,SELL,3789,1.0755,2026-03-20,PENDING
TRD-20260321-0238,14,9,FX,BUY,3826,148.4539,2026-03-21,PENDING
TRD-20260321-0239,15,10,FX,SELL,3863,1.2584,2026-03-21,PENDING
TRD-20260321-0240,1,1,EQUITY,BUY,3900,178.0432,2026-03-21,PENDING
TRD-20260322-0241,2,2,EQUITY,SELL,3937,168.2,2026-03-22,PENDING
TRD-20260322-0242,3,3,EQUITY,BUY,3974,14.8797,2026-03-22,PENDING
TRD-20260322-0243,4,4,EQUITY,SELL,4011,228.41,2026-03-22,PENDING
TRD-20260323-0244,5,5,EQUITY,BUY,4048,423.8278,2026-03-23,PENDING
TRD-20260323-0245,6,6,EQUITY,SELL,4085,174.2832,2026-03-23,PENDING
TRD-20260323-0246,7,7,EQUITY,BUY,4122,697.001,2026-03-23,PENDING
TRD-20260324-0247,8,8,EQUITY,SELL,4159,72.105,2026-03-24,PENDING
TRD-20260324-0248,9,9,EQUITY,BUY,4196,21.9024,2026-03-24,PENDING
TRD-20260324-0249,10,10,FIXED_INCOME,SELL,4233,100.33,2026-03-24,PENDING
TRD-20260325-0250,11,1,FIXED_INCOME,BUY,4270,98.1352,2026-03-25,PENDING
TRD-20260325-0251,12,2,FIXED_INCOME,SELL,4307,99.042,2026-03-25,PENDING
TRD-20260325-0252,13,3,FX,BUY,4344,1.0625,2026-03-25,PENDING
TRD-20260326-0253,14,4,FX,SELL,4381,146.6617,2026-03-26,PENDING
TRD-20260326-0254,15,5,FX,BUY,4418,1.2433,2026-03-26,PENDING
TRD-20260326-0255,1,6,EQUITY,SELL,4455,175.9024,2026-03-26,PENDING
TRD-20260327-0256,2,7,EQUITY,BUY,4492,166.1816,2026-03-27,PENDING
TRD-20260327-0257,3,8,EQUITY,SELL,4529,14.7015,2026-03-27,PENDING
TRD-20260327-0258,4,9,EQUITY,BUY,4566,225.68,2026-03-27,PENDING
TRD-20260328-0259,5,10,EQUITY,SELL,4603,418.7722,2026-03-28,PENDING
TRD-20260328-0260,6,1,EQUITY,BUY,4640,172.2084,2026-03-28,PENDING
TRD-20260328-0261,7,2,EQUITY,SELL,4677,688.7198,2026-03-28,PENDING
TRD-20260329-0262,8,3,EQUITY,BUY,4714,71.25,2026-03-29,PENDING
TRD-20260329-0263,9,4,EQUITY,SELL,4751,21.6432,2026-03-29,PENDING
TRD-20260329-0264,10,5,FIXED_INCOME,BUY,4788,99.145,2026-03-29,PENDING
TRD-20260330-0265,11,6,FIXED_INCOME,SELL,4825,96.9784,2026-03-30,PENDING
TRD-20260330-0266,12,7,FIXED_INCOME,BUY,4862,97.8768,2026-03-30,PENDING
TRD-20260330-0267,13,8,FX,SELL,4899,1.095,2026-03-30,PENDING
TRD-20260331-0268,14,9,FX,BUY,4936,151.1422,2026-03-31,PENDING
TRD-20260331-0269,15,10,FX,SELL,4973,1.2812,2026-03-31,PENDING
TRD-20260331-0270,1,1,EQUITY,BUY,20,181.2544,2026-03-31,PENDING
TRD-20260401-0271,2,2,EQUITY,SELL,57,171.2276,2026-04-01,PENDING
TRD-20260401-0272,3,3,EQUITY,BUY,94,15.147,2026-04-01,PENDING
TRD-20260401-0273,4,4,EQUITY,SELL,131,222.95,2026-04-01,PENDING
TRD-20260402-0274,5,5,EQUITY,BUY,168,413.7166,2026-04-02,PENDING
TRD-20260402-0275,6,6,EQUITY,SELL,205,170.1336,2026-04-02,PENDING
TRD-20260402-0276,7,7,EQUITY,BUY,242,680.4386,2026-04-02,PENDING
TRD-20260403-0277,8,8,EQUITY,SELL,279,70.395,2026-04-03,PENDING
TRD-20260403-0278,9,9,EQUITY,BUY,316,21.384,2026-04-03,PENDING
TRD-20260403-0279,10,10,FIXED_INCOME,SELL,353,97.96,2026-04-03,PENDING
TRD-20260404-0280,11,1,FIXED_INCOME,BUY,390,95.8216,2026-04-04,PENDING
TRD-20260404-0281,12,2,FIXED_INCOME,SELL,427,96.7116,2026-04-04,PENDING
TRD-20260404-0282,13,3,FX,BUY,464,1.082,2026-04-04,PENDING
TRD-20260405-0283,14,4,FX,SELL,501,149.35,2026-04-05,PENDING
TRD-20260405-0284,15,5,FX,BUY,538,1.266,2026-04-05,PENDING
TRD-20260405-0285,1,6,EQUITY,SELL,575,179.1136,2026-04-05,PENDING
TRD-20260406-0286,2,7,EQUITY,BUY,612,169.2092,2026-04-06,PENDING
TRD-20260406-0287,3,8,EQUITY,SELL,649,14.9688,2026-04-06,PENDING
TRD-20260406-0288,4,9,EQUITY,BUY,686,229.775,2026-04-06,PENDING
TRD-20260407-0289,5,10,EQUITY,SELL,723,426.3556,2026-04-07,PENDING
TRD-20260407-0290,6,1,EQUITY,BUY,760,175.3206,2026-04-07,PENDING
TRD-20260407-0291,7,2,EQUITY,SELL,797,701.1416,2026-04-07,PENDING
TRD-20260408-0292,8,3,EQUITY,BUY,834,72.5325,2026-04-08,PENDING
TRD-20260408-0293,9,4,EQUITY,SELL,871,22.032,2026-04-08,PENDING
TRD-20260408-0294,10,5,FIXED_INCOME,BUY,908,96.775,2026-04-08,PENDING
TRD-20260409-0295,11,6,FIXED_INCOME,SELL,945,94.6648,2026-04-09,PENDING
TRD-20260409-0296,12,7,FIXED_INCOME,BUY,982,95.5464,2026-04-09,PENDING
TRD-20260409-0297,13,8,FX,SELL,1019,1.069,2026-04-09,PENDING
TRD-20260410-0298,14,9,FX,BUY,1056,147.5578,2026-04-10,PENDING
TRD-20260410-0299,15,10,FX,SELL,1093,1.2509,2026-04-10,PENDING
TRD-20260410-0300,1,1,EQUITY,BUY,1130,176.9728,2026-04-10,PENDING
TRD-20260411-0301,2,2,EQUITY,SELL,1167,167.1908,2026-04-11,PENDING
TRD-20260411-0302,3,3,EQUITY,BUY,1204,14.7906,2026-04-11,PENDING
TRD-20260411-0303,4,4,EQUITY,SELL,1241,227.045,2026-04-11,PENDING
TRD-20260412-0304,5,5,EQUITY,BUY,1278,421.3,2026-04-12,PENDING
TRD-20260412-0305,6,6,EQUITY,SELL,1315,173.2458,2026-04-12,PENDING
TRD-20260412-0306,7,7,EQUITY,BUY,1352,692.8604,2026-04-12,PENDING
TRD-20260413-0307,8,8,EQUITY,SELL,1389,71.6775,2026-04-13,PENDING
TRD-20260413-0308,9,9,EQUITY,BUY,1426,21.7728,2026-04-13,PENDING
TRD-20260413-0309,10,10,FIXED_INCOME,SELL,1463,99.7375,2026-04-13,PENDING
TRD-20260414-0310,11,1,FIXED_INCOME,BUY,1500,97.5568,2026-04-14,PENDING
TRD-20260414-0311,12,2,FIXED_INCOME,SELL,1537,98.4594,2026-04-14,PENDING
